CASE#,DATE OF OCCURRENCE,BLOCK, IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG385996,08/17/2023 06:00:00 AM,099XX S EWING AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,432,10,04B,1202138,1839727,41.714944407,-87.535277483,"(41.714944407, -87.535277483)"
JG413511,09/01/2023 08:00:00 PM,038XX N LAKE SHORE DR,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - YARD (FRONT / BACK),N,N,1925,46,14,1171395,1926161,41.952853908,-87.645335655,"(41.952853908, -87.645335655)"
JG385925,08/17/2023 03:40:00 AM,001XX N WELLS ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,N,N,122,42,03,1174715,1901125,41.88408028,-87.633881896,"(41.88408028, -87.633881896)"
JG386675,08/17/2023 03:35:00 PM,005XX N STATE ST,1200,DECEPTIVE PRACTICE,STOLEN PROPERTY BUY / RECEIVE / POSSESS,CTA TRAIN,Y,N,1834,42,13,1176278,1903807,41.891404732,-87.628061509,"(41.891404732, -87.628061509)"
JG387217,08/17/2023 11:50:00 PM,050XX S DREXEL BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,222,4,14,1183166,1871798,41.803412024,-87.603764184,"(41.803412024, -87.603764184)"
JG386976,08/17/2023 09:46:00 PM,046XX S WOOD ST,041A,BATTERY,AGGRAVATED - HANDGUN,RESIDENCE,N,N,924,15,04B,1165127,1873950,41.809718487,-87.669860855,"(41.809718487, -87.669860855)"
JG386603,08/17/2023 03:37:00 PM,025XX W FITCH AVE,501A,OTHER OFFENSE,ANIMAL ABUSE / NEGLECT,APARTMENT,N,N,2411,50,26,1158111,1947358,42.011301687,-87.693586328,"(42.011301687, -87.693586328)"
JG386905,08/17/2023 08:20:00 PM,011XX S FRANCISCO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1135,28,08B,1157198,1894938,41.867476308,-87.69837427,"(41.867476308, -87.69837427)"
JG386896,08/17/2023 03:00:00 AM,037XX W 69TH PL,0810,THEFT,OVER $500,STREET,N,N,833,23,06,1152612,1858259,41.766915985,-87.716177414,"(41.766915985, -87.716177414)"
JG387859,08/17/2023 12:00:00 PM,042XX S STATE ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,213,3,06,1176979,1876880,41.817499359,-87.626301367,"(41.817499359, -87.626301367)"
JG387456,08/17/2023 06:00:00 PM,053XX W FULTON ST,0810,THEFT,OVER $500,VEHICLE - COMMERCIAL,N,N,1523,37,06,1140910,1901431,41.885608971,-87.758010982,"(41.885608971, -87.758010982)"
JG393234,08/17/2023 11:20:00 PM,077XX S WOOD ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - YARD (FRONT / BACK),N,Y,611,17,26,1165696,1853277,41.75297706,-87.668360229,"(41.75297706, -87.668360229)"
JG386483,08/17/2023 12:38:00 PM,050XX N PAULINA ST,0560,ASSAULT,SIMPLE,HOSPITAL BUILDING / GROUNDS,N,N,2032,47,08A,1164323,1933390,41.972843435,-87.671127232,"(41.972843435, -87.671127232)"
